estimated_number_of_hours,facility_name,facility_id,industry_segment,pneum_pump_type,pneum_pump_type_total_co2_emm,reporting_year,table_desc,table_num,total_ch4_emissions,total_pneumatic_pump_count
8760,DGOC 160A Boosting and Gathering,1013033,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.3,2018,NG Driven Pneumatic Pumps emissions,Table C.1,80.18,51
8760,XTO Energy Inc 345 Arkoma  GB,1012559,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,2.9,2022,NG Driven Pneumatic Pumps emissions,Table C.1,40.66,20
,"Petro-Hunt Dakota, L.L.C.",1013021,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Permian Basin Gathering and Boosting,1013307,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
5608.5,Powder River Basin - AAPG Province 515,1008203,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2022,NG Driven Pneumatic Pumps emissions,Table C.1,2.04,2
8760,"Enervest Operating, L.L.C. 160A Appalachian Basin (Eastern Overthrust area) G&B",1012705,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2020,NG Driven Pneumatic Pumps emissions,Table C.1,25.61,13
8760,"Rice Drilling D, LLC - Basin 160A",1011862,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.2,2019,NG Driven Pneumatic Pumps emissions,Table C.1,44.04,22
,SWEPI / Green River Basin,1008213,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2015,NG Driven Pneumatic Pumps emissions,Table C.1,,
7812,Newfield.430.Permian Basin,1008143,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,40,2015,NG Driven Pneumatic Pumps emissions,Table C.1,130.6,73
1416,Hilcorp Energy Company - Central Overthrust Basin (507),1013111,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,12.9,2022,NG Driven Pneumatic Pumps emissions,Table C.1,240.44,804
2469,"EOG Resources, Inc. 420 Fort Worth syncline",1008977,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,79.5,2021,NG Driven Pneumatic Pumps emissions,Table C.1,200.32,1175
8784,"JKLM Energy, LLC",1013104,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2020,NG Driven Pneumatic Pumps emissions,Table C.1,2.18,1
8760,Enterprise Products Operating LLC 580 San Juan Basin,1012468,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,29.4,2019,NG Driven Pneumatic Pumps emissions,Table C.1,119.77,65
8760,Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,11.8,2015,NG Driven Pneumatic Pumps emissions,Table C.1,584.33,306
8760,Slant Operating LLC,1011662,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.1,2018,NG Driven Pneumatic Pumps emissions,Table C.1,83.93,45
8760,Ovintiv USA Inc. 575 Uinta Gathering and Boosting,1012760,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.3,2022,NG Driven Pneumatic Pumps emissions,Table C.1,10.59,6
8760,"Compass Production Partners, LP - Arkla Basin #230",1011194,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,41,2022,NG Driven Pneumatic Pumps emissions,Table C.1,324.24,152
8760,XTO Energy Inc 160A Appalachian E Overthrust  GB,1012560,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2019,NG Driven Pneumatic Pumps emissions,Table C.1,22.26,11
8784,Riviera Resources 305 Michigan Basin Gathering and Boosting,1012547,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,3.4,2016,NG Driven Pneumatic Pumps emissions,Table C.1,9.49,5
8760,Gulf Coast Basin Gathering & Boosting - AAPG Province 220,1012198,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,5.7,2018,NG Driven Pneumatic Pumps emissions,Table C.1,94.26,73
,Great Salt Plains MIdstream,1013738,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Denbury Onshore LLC 515 Powder River,1011244,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,"Repsol Oil & Gas USA, LLC Gathering and Boosting Operations",1012192,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2022,NG Driven Pneumatic Pumps emissions,Table C.1,17.43,8
8760,Basin 430 West Texas - OSP,1008642,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.3,2015,NG Driven Pneumatic Pumps emissions,Table C.1,1.56,1
,SEP East Texas Basin 260 Production,1013034,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
4616,575 Uinta Basin QEP Energy Company,1009282,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.3,2015,NG Driven Pneumatic Pumps emissions,Table C.1,1086.6,1010
8116.6854,XTO Energy Inc 260 East Texas,1008079,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,318,2017,NG Driven Pneumatic Pumps emissions,Table C.1,4235.91,2189
3351,BREITBURN OPERATING LP-BASIN 507,1010319,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.2,2021,NG Driven Pneumatic Pumps emissions,Table C.1,31.24,43
,"White Star Petroleum, LLC",1011395,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
7889.098039,"Comstock Oil & Gas-LA, LLC",1009890,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.4,2018,NG Driven Pneumatic Pumps emissions,Table C.1,40.43,21
,"Williston Basin/SOGC, Inc.",1009607,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Goff Connector 160A Appalachian Basin (Eastern Overthrust Area) GB,1013946,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,DGOC 415 Strawn B&G,1014317,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.2,2022,NG Driven Pneumatic Pumps emissions,Table C.1,5.67,3
,"J. Cleo Thompson & James Cleo Thompson, Jr. L.P. 430 Permian Basin",1007037,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
,CalNRG- Ventura Basin Gathering and Boosting,1012351,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"Comstock Resources, Inc. - Basin 220",1009906,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
7029.333333,CRI 350 SOK Folded Belt,1011191,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2021,NG Driven Pneumatic Pumps emissions,Table C.1,1.36,1
8760,Earthstone Energy 430 Permian,1013483,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.9,2018,NG Driven Pneumatic Pumps emissions,Table C.1,59.45,34
,"Hilcorp North Slope, Basin 890-G&B Facility",1012135,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Grizzly Anadarko Basin,1008200,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.5,2017,NG Driven Pneumatic Pumps emissions,Table C.1,11.54,6
,CrownQuest Operating - Basin 430,1014504,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"Kraken Oil and Gas II, LLC",1013291,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
6336,"Hilcorp Alaska, LLC 820 Kenai",1009332,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.4,2017,NG Driven Pneumatic Pumps emissions,Table C.1,23.91,15
8760,ALLP Greenriver Basin,1012251,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1,2021,NG Driven Pneumatic Pumps emissions,Table C.1,12.16,6
,PureWest/Green River Basin,1009125,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,345 - Arkoma Basin Gathering/Boosting,1012155,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.6,2017,NG Driven Pneumatic Pumps emissions,Table C.1,8.5,4
8760,Anadarko Basin,1009845,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.6,2019,NG Driven Pneumatic Pumps emissions,Table C.1,31.22,17
7921,Texas American 220 Gulf Coast Basin,1013087,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.5,2021,NG Driven Pneumatic Pumps emissions,Table C.1,57.51,36
,SK Plymouth LLC Anadarko Basin,1011752,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
2796,Mewbourne Oil Company - Permian Basin 430 Gf,1013964,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.8,2022,NG Driven Pneumatic Pumps emissions,Table C.1,28.21,66
8635.636364,"EXCO Resources, Inc. - Arkla Basin #230",1008957,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.5,2020,NG Driven Pneumatic Pumps emissions,Table C.1,116.98,55
8277,Ovintiv USA Inc. 350.South Oklahoma Folded Belt,1008134,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2017,NG Driven Pneumatic Pumps emissions,Table C.1,1.6,1
8760,XTO Energy Inc 575 Uintah  GB,1012577,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2019,NG Driven Pneumatic Pumps emissions,Table C.1,9.99,5
8760,REM 305 Michigan Basin - PRODUCTION,1009101,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,83.8,2019,NG Driven Pneumatic Pumps emissions,Table C.1,216.76,114
8760,DGOC 160A Production,1012936,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2017,NG Driven Pneumatic Pumps emissions,Table C.1,40.85,19
1495.422222,BKV Operating LLC,1009732,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2019,NG Driven Pneumatic Pumps emissions,Table C.1,16.68,45
2168.653846,Chief Oil & Gas LLC (160A),1009485,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.2,2021,NG Driven Pneumatic Pumps emissions,Table C.1,252.53,456
,"James Lake Midstream, LLC 430 Permian Basin GB",1012451,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Basin 540 Denver Julesburg  G&B,1012826,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8695.74194,"EXCO Resources (PA), LLC - Basin 160A",1008673,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2021,NG Driven Pneumatic Pumps emissions,Table C.1,66.94,31
8760,Arkla Gathering and Boosting QEP Energy,1013076,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.2,2017,NG Driven Pneumatic Pumps emissions,Table C.1,2.1,1
,Bruin E&P Operating LLC - Williston Basin Operations,1012940,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,DGOC 160 Boosting and Gathering,1013064,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1.8,2018,NG Driven Pneumatic Pumps emissions,Table C.1,194.27,101
8760,Javelin Energy Partners Management Fort Worth Syncline,1013262,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,27.5,2022,NG Driven Pneumatic Pumps emissions,Table C.1,173.45,106
4589,Sage Natural Resources 415 Strawn Basin,1011674,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.8,2021,NG Driven Pneumatic Pumps emissions,Table C.1,31.55,30
5705,"EOG Resources, Inc. 420 Fort Worth syncline",1008977,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,508.2,2019,NG Driven Pneumatic Pumps emissions,Table C.1,1177.42,1374
8760,"SN Operating, LLC 220 Gulf Coast Basin (LA,TX) GB",1012735,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.8,2018,NG Driven Pneumatic Pumps emissions,Table C.1,6.99,4
8760,TOMPC Chautauqua #355-G&B,1012814,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2021,NG Driven Pneumatic Pumps emissions,Table C.1,3.05,2
4945,GulfTex Gulf Coast Basin #220,1011847,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.7,2018,NG Driven Pneumatic Pumps emissions,Table C.1,122.3,127
7936,515 Powder River Basin DEC,1009278,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.9,2017,NG Driven Pneumatic Pumps emissions,Table C.1,4.5,3
8760,Matador Production Company - Gulf Coast,1010837,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.3,2019,NG Driven Pneumatic Pumps emissions,Table C.1,94.55,57
,Muskegon Operating Company,1014382,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"Clayton Williams Energy, Inc. - 430 Permian Basin",1006886,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,DCP Midstream 350 South Oklahoma Folded Belt,1012240,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2016,NG Driven Pneumatic Pumps emissions,Table C.1,0.00E+00,0.00E+00
,Mewbourne Oil Company - Permian Basin 430,1013845,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
4392,"Williams - G&B Facility - Denver Basin 540 (Tulsa, OK)",1013203,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2020,NG Driven Pneumatic Pumps emissions,Table C.1,2.19,2
8784,"ConocoPhillips Gulf Coast Basin 220, Gathering and Boosting",1012157,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,49.7,2016,NG Driven Pneumatic Pumps emissions,Table C.1,781.86,465
8462.8816,XTO Energy Inc 360 Anadarko,1009143,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.5,2022,NG Driven Pneumatic Pumps emissions,Table C.1,69.84,38
,EMP 360 Anadarko GB,1012592,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,BPX Energy 220 Gulf Coast Basin GB,1012452,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1.2,2018,NG Driven Pneumatic Pumps emissions,Table C.1,19.38,12
8760,Energy Transfer 360 - Anadarko Basin,1012388,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,35,2018,NG Driven Pneumatic Pumps emissions,Table C.1,1297,692
3090.38,"ConocoPhillips Permian Basin 430, Gathering and Boosting",1012230,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.4,2021,NG Driven Pneumatic Pumps emissions,Table C.1,9.49,16
8342,Key Production Co. 360 Anadarko,1008703,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.8,2015,NG Driven Pneumatic Pumps emissions,Table C.1,68,38
8760,OWS Acquisitions CO 160A OSP,1014399,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.2,2021,NG Driven Pneumatic Pumps emissions,Table C.1,29.73,16
8784,420 Fort Worth Syncline BKV  GB,1012544,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2016,NG Driven Pneumatic Pumps emissions,Table C.1,3.55,2
,Hess Corporation - 430 - Permian Basin,1008634,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2015,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"EXCO Resources, Inc. - Gulf Coast Basin #220",1010945,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2015,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,XCL - Uinta Basin,1013288,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.5,2019,NG Driven Pneumatic Pumps emissions,Table C.1,14.35,9
8760,IACX Roswell,1013144,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1.8,2017,NG Driven Pneumatic Pumps emissions,Table C.1,53.45,32
8784,"EnLink North Texas Gathering, LP G&B 420 - Fort Worth Syncline",1012811,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,2,2020,NG Driven Pneumatic Pumps emissions,Table C.1,52.35,29
8760,Elevate Midstream 260 East Texas Basin,1013411,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,3.5,2018,NG Driven Pneumatic Pumps emissions,Table C.1,29.73,17
8760,"DTM Louisiana Gathering, LLC 230 - Arkla Basin GB",1013593,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,15,2021,NG Driven Pneumatic Pumps emissions,Table C.1,94.93,45
,Dominion Energy Ohio - Appalachian Basin Eastern Overthrust (Gath),1014503,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Foundation Energy Management 360 Anadarko Basin,1011091,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,"EnLink Midstream Services, LLC G&B 420 - Fort Worth Syncline",1012768,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,11.4,2020,NG Driven Pneumatic Pumps emissions,Table C.1,231.5,112
8715.475113,Marathon Oil Anadarko Basin (AAPG 360),1009353,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,10.9,2021,NG Driven Pneumatic Pumps emissions,Table C.1,611.7,345
8760,"Lonestar Resources 220 Gulf Coast Basin (LA, TX)",1012873,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,13.3,2017,NG Driven Pneumatic Pumps emissions,Table C.1,108.85,62
,Williston Gathering & Boosting QEP Energy Company,1013356,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,BBOG Gulf Coast Basin #220,1011534,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.2,2020,NG Driven Pneumatic Pumps emissions,Table C.1,131.57,78
,"Armor Energy, LLC",1013344,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Matador Production Company - Permian Basin,1012068,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.8,2019,NG Driven Pneumatic Pumps emissions,Table C.1,512.85,314
,CalNRG- Lynch Canyon Field,1011804,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Crescent Point Energy Corporation Williston Basin (395) Operations,1010521,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
5848.421961,580 San Juan Basin - Simcoe LLC,1009076,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,22.6,2021,NG Driven Pneumatic Pumps emissions,Table C.1,173.39,133
8760,"Blue Racer Midstream, LLC 160A Appalachian Basin (Eastern Overthrust Area) GB",1012532,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.6,2017,NG Driven Pneumatic Pumps emissions,Table C.1,117.02,64
4380,Williams G&B Facility  Anadarko Basin 360,1012233,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,2.9,2018,NG Driven Pneumatic Pumps emissions,Table C.1,103.54,102
6244,Ovintiv USA Inc. 360.Anadarko Basin,1009260,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2017,NG Driven Pneumatic Pumps emissions,Table C.1,4.9,4
7797.1601,XTO Energy Inc 260 East Texas,1008079,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,310.1,2019,NG Driven Pneumatic Pumps emissions,Table C.1,4151.16,2241
,"Hilcorp Alaska, LLC 890 Basin, G&B",1012164,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
,PDC Energy 540 Denver Basin,1009286,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"Pioneer Natural Resources USA, Inc.  Permian",1008607,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2015,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Ovintiv USA Inc. 355.Chautauqua Platform,1009115,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,"Tanos Exploration II, LLC Arkla Basin, AAPG 230",1007486,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.2,2017,NG Driven Pneumatic Pumps emissions,Table C.1,49.85,24
6361.570714,BCE-Mach III 350 (Madill),1008697,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.4,2016,NG Driven Pneumatic Pumps emissions,Table C.1,17.2,14
8760,420 Fort Worth Syncline BKV  GB,1012544,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.2,2021,NG Driven Pneumatic Pumps emissions,Table C.1,5.31,3
,Atlas 160/Appalachia Basin - Ohio,1008483,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
818.89,Mid-Gulf Coast Basin Code 210,1008506,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.9,2022,NG Driven Pneumatic Pumps emissions,Table C.1,45.68,271
8760,"Sundance Energy, Inc. - South Texas Basin",1013023,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,10.2,2020,NG Driven Pneumatic Pumps emissions,Table C.1,190.24,120
7811,Rockcliff Energy 260 East Texas Basin,1013080,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,81.2,2018,NG Driven Pneumatic Pumps emissions,Table C.1,1663.3,887
7380,"Jordan Development Company, LLC",1008066,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.9,2019,NG Driven Pneumatic Pumps emissions,Table C.1,47.52,32
8760,Arsenal Midstream LLC 160A Appalachian Basin GB,1012861,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2021,NG Driven Pneumatic Pumps emissions,Table C.1,2.18,1
8548,"BPX Energy Arkla Basin, AAPG Basin 230",1008492,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,94.1,2021,NG Driven Pneumatic Pumps emissions,Table C.1,990.48,471
7012,WPX Energy Permian LLC,1009039,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.5,2020,NG Driven Pneumatic Pumps emissions,Table C.1,169.28,121
8760,Permian Basin Operations,1012129,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.4,2020,NG Driven Pneumatic Pumps emissions,Table C.1,159.01,90
8760,Enervest Operating L.L.C. 415 Strawn Basin G&B,1013124,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,7.4,2021,NG Driven Pneumatic Pumps emissions,Table C.1,87.06,41
